current_price,date,commodity
18.032,"Sep 07, 2017",silver
17.816,"Sep 06, 2017",silver
17.845,"Sep 05, 2017",silver
17.914,"Sep 04, 2017",silver
17.934,"Sep 03, 2017",silver
17.719,"Sep 01, 2017",silver
17.480,"Aug 31, 2017",silver
17.404,"Aug 30, 2017",silver
17.426,"Aug 29, 2017",silver
17.441,"Aug 28, 2017",silver
17.042,"Aug 27, 2017",silver
17.049,"Aug 25, 2017",silver
16.963,"Aug 24, 2017",silver
17.046,"Aug 23, 2017",silver
16.982,"Aug 22, 2017",silver
17.015,"Aug 21, 2017",silver
16.896,"Aug 20, 2017",silver
17.000,"Aug 18, 2017",silver
17.053,"Aug 17, 2017",silver
16.940,"Aug 16, 2017",silver
16.714,"Aug 15, 2017",silver
17.122,"Aug 14, 2017",silver
17.076,"Aug 13, 2017",silver
17.070,"Aug 11, 2017",silver
17.065,"Aug 10, 2017",silver
16.863,"Aug 09, 2017",silver
16.389,"Aug 08, 2017",silver
16.251,"Aug 07, 2017",silver
"1,346.08","Sep 07, 2017",gold
"1,339.00","Sep 06, 2017",gold
"1,344.50","Sep 05, 2017",gold
"1,338.08","Sep 04, 2017",gold
"1,341.22","Sep 03, 2017",gold
"1,330.40","Sep 01, 2017",gold
"1,322.20","Aug 31, 2017",gold
"1,314.10","Aug 30, 2017",gold
"1,318.90","Aug 29, 2017",gold
"1,315.30","Aug 28, 2017",gold
"1,297.90","Aug 25, 2017",gold
"1,292.00","Aug 24, 2017",gold
"1,294.70","Aug 23, 2017",gold
"1,291.00","Aug 22, 2017",gold
"1,296.70","Aug 21, 2017",gold
"1,291.60","Aug 18, 2017",gold
"1,292.40","Aug 17, 2017",gold
"1,282.90","Aug 16, 2017",gold
"1,279.70","Aug 15, 2017",gold
"1,290.40","Aug 14, 2017",gold
"1,294.00","Aug 11, 2017",gold
"1,290.10","Aug 10, 2017",gold
"1,279.30","Aug 09, 2017",gold
"1,262.60","Aug 08, 2017",gold
"1,264.70","Aug 07, 2017",gold
